Client Type,Todays Date,Future Index Long  ,Future Index Short ,Future Stock Long ,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,FII_Stat,FII_Buy_Stat,FII_Sell_Stat
Client,12-12-2020,45.88375999,54.11624001,76.79891591,23.20108409,50.73599692,47.19595618,49.26400308,52.80404382,60.78896676,44.80682199,39.21103324,55.19317801,54.10434692,45.89565308,FII INDEX FUT,51.8659234,48.13407958
DII,12-12-2020,5.125670714,94.87432929,3.739006988,96.26099301,99.62686567,99.9974399,0.373134328,0.002560098,11.43820914,50,88.56179086,50,8.295048314,91.70495169,FII INDEX OPT,49.93816316,50.06183386
FII,12-12-2020,76.55981136,23.44018864,55.87029132,44.12970868,58.35565109,57.56762415,41.64434891,42.43237585,40.27305292,54.48370583,59.72694708,45.51629417,57.36167134,42.63832866,FII STOCK FUT,49.15233552,50.84766746
Pro,12-12-2020,49.80648852,50.19351148,66.29600173,33.70399827,42.47915857,50.2079488,57.52084143,49.7920512,29.25451623,57.65034044,70.74548377,42.34965956,47.44818659,52.55181341,FII STOCK OPT,49.71678853,50.28321147
Client,14-12-2020,47.01736046,52.98263954,76.88500424,23.11499576,50.98742874,47.4756461,49.01257126,52.5243539,60.45616662,45.66861263,39.54383338,54.33138737,53.96766115,46.03233885,FII INDEX FUT,43.21394861,56.78604841
DII,14-12-2020,5.269494722,94.73050528,3.887756083,96.11224392,99.62686567,99.99750381,0.373134328,0.002496193,13.16815145,50,86.83184855,50,8.549131729,91.45086827,FII INDEX OPT,50.03124475,49.96875525
FII,14-12-2020,72.32340531,27.67659469,55.77187907,44.22812093,56.94747873,58.36549778,43.05252127,41.63450222,40.30969566,53.89494549,59.69030434,46.10505451,57.02416553,42.97583447,FII STOCK FUT,49.47364926,50.52635074
Pro,14-12-2020,51.88063938,48.11936062,65.24505657,34.75494343,42.88983398,49.63148674,57.11016602,50.36851326,29.94431811,56.39374728,70.05568189,43.60625272,47.17313843,52.82686157,FII STOCK OPT,49.79258776,50.20741224
Client,15-12-2020,47.41085999,52.58914001,76.7921507,23.2078493,50.87889093,48.04193745,49.12110907,51.95806255,60.35652048,45.86361447,39.64347952,54.13638553,54.00092026,45.99907974,FII INDEX FUT,49.84876215,50.15124083
DII,15-12-2020,5.196713508,94.80328649,3.841599253,96.15840075,99.62686567,99.99750561,0.373134328,0.002494388,13.24061196,50,86.75938804,50,8.506608059,91.49339194,FII INDEX OPT,50.14954209,49.85045791
FII,15-12-2020,73.56761573,26.43238427,55.69326499,44.30673501,57.74211334,58.32298225,42.25788666,41.67701775,41.10060189,53.73692401,58.89939811,46.26307599,57.14499919,42.85500081,FII STOCK FUT,49.52421486,50.47578812
Pro,15-12-2020,49.16443236,50.83556764,64.81845443,35.18154557,42.52912386,47.87060197,57.47087614,52.12939803,29.77197912,56.09552873,70.22802088,43.90447127,46.31732155,53.68267845,FII STOCK OPT,50.2238512,49.77614582
Client,16-12-2020,47.88341002,52.11658998,76.46912724,23.53087276,50.68309803,49.3696463,49.31690197,50.6303537,60.25656927,46.28412005,39.74343073,53.71587995,54.17890254,45.82109746,FII INDEX FUT,53.49937677,46.50062323
DII,16-12-2020,5.880419149,94.11958085,3.866703032,96.13329697,99.62686567,99.99756632,0.373134328,0.002433682,14.75813064,50,85.24186936,50,8.691119003,91.308881,FII INDEX OPT,50.04328489,49.95671809
FII,16-12-2020,73.46963346,26.53036654,55.61894085,44.38105915,58.49386644,57.04740954,41.50613356,42.95259046,40.94724821,54.11241141,59.05275179,45.88758859,57.05352546,42.94647454,FII STOCK FUT,49.55423474,50.44576526
Pro,16-12-2020,43.33144008,56.66855992,64.67712027,35.32287973,42.4288438,44.55489122,57.5711562,55.44510878,30.24279044,55.32767321,69.75720956,44.67232679,45.10804085,54.89195915,FII STOCK OPT,49.9936372,50.00635982
Client,17-12-2020,47.85746728,52.14253272,76.39631224,23.60368776,47.84792547,47.82636949,52.15207453,52.17363051,60.58391548,46.03713353,39.41608452,53.96286647,54.50802214,45.49197786,FII INDEX FUT,46.23318613,53.76681685
DII,17-12-2020,5.839505417,94.16049458,3.891751381,96.10824862,99.62686567,99.99800359,0.373134328,0.001996406,14.75813064,50,85.24186936,50,9.696498726,90.30350127,FII INDEX OPT,50.10074973,49.89925325
FII,17-12-2020,68.94815086,31.05184914,55.48895263,44.51104737,60.38740228,55.94182924,39.61259772,44.05817076,40.86100957,54.35003915,59.13899043,45.64996085,56.77815759,43.22184241,FII STOCK FUT,49.36615825,50.63384175
Pro,17-12-2020,47.77076874,52.22923126,64.50981385,35.49018615,47.08738503,47.77819963,52.91261497,52.22180037,29.50322234,55.54101349,70.49677766,44.45898651,47.24185777,52.75814223,FII STOCK OPT,50.03426075,49.96573627
Client,18-12-2020,47.43120714,52.56879286,76.85024641,23.14975359,49.59110745,47.48236193,50.40889255,52.51763807,60.62942514,46.09806864,39.37057486,53.90193136,54.08808559,45.91191441,FII INDEX FUT,49.3330121,50.6669879
DII,18-12-2020,5.771567436,94.22843256,3.832275144,96.16772486,99.62686567,99.99800359,0.373134328,0.001996406,14.55918037,50,85.44081963,50,9.664068339,90.33593166,FII INDEX OPT,50.27993321,49.72006977
FII,18-12-2020,68.38068937,31.61931063,55.27783367,44.72216633,59.9074977,56.95074194,40.0925023,43.04925806,40.26444871,54.33476395,59.73555129,45.66523605,56.8270032,43.1729968,FII STOCK FUT,49.29371178,50.70628524
