Date,Day,Event
28-12-2020,Monday,
29-12-2020,Tuesday,
30-12-2020,Wednesday,
31-12-2020,Thursday,
01-01-2021,Friday,
04-01-2021,Monday,
05-01-2021,Tuesday,
06-01-2021,Wednesday,
07-01-2021,Thursday,
08-01-2021,Friday,
11-01-2021,Monday,
12-01-2021,Tuesday,
13-01-2021,Wednesday,
14-01-2021,Thursday,
15-01-2021,Friday,
18-01-2021,Monday,
19-01-2021,Tuesday,
20-01-2021,Wednesday,
21-01-2021,Thursday,
22-01-2021,Friday,
25-01-2021,Monday,
27-01-2021,Wednesday,
28-01-2021,Thursday,
29-01-2021,Friday,
01-02-2021,Monday,
02-02-2021,Tuesday,
03-02-2021,Wednesday,
04-02-2021,Thursday,
05-02-2021,Friday,
08-02-2021,Monday,
09-02-2021,Tuesday,
10-02-2021,Wednesday,
11-02-2021,Thursday,
12-02-2021,Friday,
15-02-2021,Monday,
16-02-2021,Tuesday,
17-02-2021,Wednesday,
18-02-2021,Thursday,
19-02-2021,Friday,
22-02-2021,Monday,
23-02-2021,Tuesday,
24-02-2021,Wednesday,
25-02-2021,Thursday,
26-02-2021,Friday,
01-03-2021,Monday,
02-03-2021,Tuesday,
03-03-2021,Wednesday,
04-03-2021,Thursday,
05-03-2021,Friday,
08-03-2021,Monday,
09-03-2021,Tuesday,
10-03-2021,Wednesday,
12-03-2021,Friday,
15-03-2021,Monday,
16-03-2021,Tuesday,
17-03-2021,Wednesday,
18-03-2021,Thursday,
19-03-2021,Friday,
22-03-2021,Monday,
23-03-2021,Tuesday,
24-03-2021,Wednesday,
25-03-2021,Thursday,
26-03-2021,Friday,
30-03-2021,Tuesday,
31-03-2021,Wednesday,
01-04-2021,Thursday,
05-04-2021,Monday,
06-04-2021,Tuesday,
07-04-2021,Wednesday,
08-04-2021,Thursday,
09-04-2021,Friday,
12-04-2021,Monday,
13-04-2021,Tuesday,
15-04-2021,Thursday,
16-04-2021,Friday,
19-04-2021,Monday,
20-04-2021,Tuesday,
22-04-2021,Thursday,
23-04-2021,Friday,
26-04-2021,Monday,
27-04-2021,Tuesday,
28-04-2021,Wednesday,
29-04-2021,Thursday,
30-04-2021,Friday,
03-05-2021,Monday,
04-05-2021,Tuesday,
05-05-2021,Wednesday,
06-05-2021,Thursday,
07-05-2021,Friday,
10-05-2021,Monday,
11-05-2021,Tuesday,
12-05-2021,Wednesday,
14-05-2021,Friday,
17-05-2021,Monday,
18-05-2021,Tuesday,
19-05-2021,Wednesday,
20-05-2021,Thursday,
21-05-2021,Friday,
24-05-2021,Monday,
25-05-2021,Tuesday,
26-05-2021,Wednesday,
27-05-2021,Thursday,
28-05-2021,Friday,
